Country,Admin 1,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2021,01,2336,64 KG,KES,"MOA"
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2021,02,3648,64 KG,KES,"MOA"
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2021,03,3360,64 KG,KES,"MOA"
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2021,04,4480,64 KG,KES,"MOA"
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2021,05,4160,64 KG,KES,"MOA"
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2021,06,3520,64 KG,KES,"MOA"
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2021,07,,64 KG,KES,""
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2021,08,,64 KG,KES,""
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2021,09,3157,64 KG,KES,"State Department of Agriculture"
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2021,10,3328,64 KG,KES,"State Department of Agriculture"
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2021,11,3360,64 KG,KES,"State Department of Agriculture"
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2021,12,2880,64 KG,KES,"State Department of Agriculture"
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2022,01,2944,64 KG,KES,"State Department of Agriculture"
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2022,02,2880,64 KG,KES,"State Department of Agriculture"
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2022,03,2960,64 KG,KES,"State Department of Agriculture"
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2022,04,3680,64 KG,KES,"State Department of Agriculture"
"Kenya","Central","Karatina (Nyeri)","Tomatoes","Wholesale",2022,05,3360,64 KG,KES,"State Department of Agriculture"
"Kenya","Central","Karatina (Nyeri)","Sorghum (white)","Wholesale",2021,02,4050,90 KG,KES,"MOA"
"Kenya","Central","Karatina (Nyeri)","Sorghum (white)","Wholesale",2021,03,4248,90 KG,KES,"MOA"
"Kenya","Central","Karatina (Nyeri)","Sorghum (white)","Wholesale",2021,04,,90 KG,KES,""
"Kenya","Central","Karatina (Nyeri)","Sorghum (white)","Wholesale",2021,05,5499,90 KG,KES,"MOA"
"Kenya","Central","Karatina (Nyeri)","Sorghum (white)","Wholesale",2021,06,4500,90 KG,KES,"MOA"
"Kenya","Central","Karatina (Nyeri)","Sorghum (white)","Wholesale",2021,07,5004,90 KG,KES,"MOA"
"Kenya","Central","Karatina (Nyeri)","Sorghum (white)","Wholesale",2021,08,,90 KG,KES,""
"Kenya","Central","Karatina (Nyeri)","Sorghum (white)","Wholesale",2021,09,,90 KG,KES,""
"Kenya","Central","Karatina (Nyeri)","Sorghum (white)","Wholesale",2021,10,,90 KG,KES,""
"Kenya","Central","Karatina (Nyeri)","Sorghum (white)","Wholesale",2021,11,,90 KG,KES,""
"Kenya","Central","Karatina (Nyeri)","Sorghum (white)","Wholesale",2021,12,,90 KG,KES,""
"Kenya","Central","Karatina (Nyeri)","Sorghum (white)","Wholesale",2022,01,,90 KG,KES,""
"Kenya","Central","Karatina (Nyeri)","Sorghum (white)","Wholesale",2022,02,8001,90 KG,KES,"State Department of Agriculture"
"Kenya","Central","Karatina (Nyeri)","Sorghum (white)","Wholesale",2022,03,5400,90 KG,KES,"State Department of Agriculture"
"Kenya","Central","Karatina (Nyeri)","Beans (kidney)","Wholesale",2021,01,7200,90 KG,KES,"MOA"
"Kenya","Central","Karatina (Nyeri)","Beans (kidney)","Wholesale",2021,02,,90 KG,KES,""
