Country;Admin 1;Market;Commodity;Price Type;Year;Month;Price;Unit;Currency;Data Source
Malawi;Central Region;Bembeke turn off;Beans;Retail;2012;6;300;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2012;7;280;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2012;8;280;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2012;9;280;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2012;10;235;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2012;11;28167;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2012;12;285;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2013;1;300;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2013;2;26104;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2013;3;325;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2013;4;245;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2013;5;25177;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2013;6;335;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2013;7;30625;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2013;8;30625;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2013;9;36417;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2013;10;3476;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2013;11;35041;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2013;12;35185;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2014;1;35977;KG;MWK;Ministry of Agriculture
Malawi;Central Region;Bembeke turn off;Beans;Retail;2014;2;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2014;3;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2014;4;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2014;5;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2014;6;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2014;7;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2014;8;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2014;9;345;KG;MWK;Ministry of Agriculture and Food Security
Malawi;Central Region;Bembeke turn off;Beans;Retail;2014;10;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2014;11;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2014;12;450;KG;MWK;Ministry of Agriculture and Food Security
Malawi;Central Region;Bembeke turn off;Beans;Retail;2015;1;500;KG;MWK;Ministry of Agriculture and Food Security
Malawi;Central Region;Bembeke turn off;Beans;Retail;2015;2;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2015;3;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2015;4;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2015;5;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2015;6;380;KG;MWK;Ministry of Agriculture and Food Security
Malawi;Central Region;Bembeke turn off;Beans;Retail;2015;7;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2015;8;435;KG;MWK;Ministry of Agriculture and Food Security
Malawi;Central Region;Bembeke turn off;Beans;Retail;2015;9;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2015;10;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2015;11;448125;KG;MWK;Ministry of Agriculture and Food Security
Malawi;Central Region;Bembeke turn off;Beans;Retail;2015;12;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2016;1;550;KG;MWK;Ministry of Agriculture and Food Security
Malawi;Central Region;Bembeke turn off;Beans;Retail;2016;2;550;KG;MWK;Ministry of Agriculture and Food Security
Malawi;Central Region;Bembeke turn off;Beans;Retail;2016;3;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2016;4;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2016;5;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2016;6;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2016;7;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2016;8;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2016;9;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2016;10;67541;KG;MWK;Ministry of Agriculture and Food Security
Malawi;Central Region;Bembeke turn off;Beans;Retail;2016;11;698155;KG;MWK;Ministry of Agriculture and Food Security
Malawi;Central Region;Bembeke turn off;Beans;Retail;2016;12;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2017;1;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2017;2;77547;KG;MWK;Ministry of Agriculture and Food Security
Malawi;Central Region;Bembeke turn off;Beans;Retail;2017;3;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2017;4;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2017;5;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2017;6;;KG;MWK;
Malawi;Central Region;Bembeke turn off;Beans;Retail;2017;7;37285;KG;MWK;Ministry of Agriculture and Food Security
Malawi;Central Region;Bembeke turn off;Beans;Retail;2017;8;420;KG;MWK;Ministry of Agriculture and Food Security
