Indicator,Time,Value (percent)
Food Inflation,1990/01/31,23.2
Food Inflation,1990/02/28,25.4
Food Inflation,1990/03/31,24.5
Food Inflation,1990/04/30,21.7
Food Inflation,1990/05/31,15.3
Food Inflation,1990/06/30,9.1
Food Inflation,1990/07/31,11.9
Food Inflation,1990/08/31,17.6
Food Inflation,1990/09/30,19.3
Food Inflation,1990/10/31,21.9
Food Inflation,1990/11/30,23.4
Food Inflation,1990/12/31,22.4
Food Inflation,1991/01/31,4.2
Food Inflation,1991/02/28,5.6
Food Inflation,1991/03/31,6.4
Food Inflation,1991/04/30,7.2
Food Inflation,1991/05/31,6.6
Food Inflation,1991/06/30,7.8
Food Inflation,1991/07/31,9.4
Food Inflation,1991/08/31,8.8
Food Inflation,1991/09/30,8.9
Food Inflation,1991/10/31,11.4
Food Inflation,1991/11/30,11.7
Food Inflation,1991/12/31,12.5
Food Inflation,1992/01/31,13
Food Inflation,1992/02/29,18.3
Food Inflation,1992/03/31,17
Food Inflation,1992/04/30,18.6
Food Inflation,1992/05/31,25.6
Food Inflation,1992/06/30,18.2
Food Inflation,1992/07/31,23.8
Food Inflation,1992/08/31,30.1
Food Inflation,1992/09/30,38
Food Inflation,1992/10/31,39.8
Food Inflation,1992/11/30,45.7
Food Inflation,1992/12/31,47
Food Inflation,1993/01/31,43.8
Food Inflation,1993/02/28,39.9
Food Inflation,1993/03/31,41.5
Food Inflation,1993/04/30,36.3
Food Inflation,1993/05/31,27.3
Food Inflation,1993/06/30,30
Food Inflation,1993/07/31,19.4
Food Inflation,1993/08/31,16.7
Food Inflation,1993/09/30,17.4
Food Inflation,1993/10/31,18
Food Inflation,1993/11/30,19
Food Inflation,1993/12/31,19.5
Food Inflation,1994/01/31,23.2
Food Inflation,1994/02/28,24.8
Food Inflation,1994/03/31,26.9
Food Inflation,1994/04/30,27.8
Food Inflation,1994/05/31,28.5
Food Inflation,1994/06/30,27.5
Food Inflation,1994/07/31,29.4
Food Inflation,1994/08/31,33.1
Food Inflation,1994/09/30,37.6
Food Inflation,1994/10/31,50.5
Food Inflation,1994/11/30,64.7
Food Inflation,1994/12/31,74.9
Food Inflation,1995/01/31,77.6
Food Inflation,1995/02/28,79
Food Inflation,1995/03/31,79.2
Food Inflation,1995/04/30,82.2
Food Inflation,1995/05/31,91.3
Food Inflation,1995/06/30,104.4
Food Inflation,1995/07/31,113
Food Inflation,1995/08/31,107
Food Inflation,1995/09/30,104.9
Food Inflation,1995/10/31,99
Food Inflation,1995/11/30,90.5
Food Inflation,1995/12/31,88.5
Food Inflation,1996/01/31,89
Food Inflation,1996/02/29,83.3
Food Inflation,1996/03/31,79.2
Food Inflation,1996/04/30,81
Food Inflation,1996/05/31,73.6
Food Inflation,1996/06/30,67.5
Food Inflation,1996/07/31,60.1
Food Inflation,1996/08/31,36.1
Food Inflation,1996/09/30,22.3
Food Inflation,1996/10/31,10.4
Food Inflation,1996/11/30,5.1
Food Inflation,1996/12/31,2.3
Food Inflation,1997/01/31,3.2
Food Inflation,1997/02/28,4.3
Food Inflation,1997/03/31,5.1
Food Inflation,1997/04/30,4.4
Food Inflation,1997/05/31,4.9
Food Inflation,1997/06/30,4.4
Food Inflation,1997/07/31,4.8
Food Inflation,1997/08/31,9.5
Food Inflation,1997/09/30,11.8
Food Inflation,1997/10/31,14
Food Inflation,1997/11/30,16.6
Food Inflation,1997/12/31,19
Food Inflation,1998/01/31,21.4
Food Inflation,1998/02/28,21
Food Inflation,1998/03/31,21.8
Food Inflation,1998/04/30,19.4
Food Inflation,1998/05/31,17.5
Food Inflation,1998/06/30,16.7
Food Inflation,1998/07/31,15.8
Food Inflation,1998/08/31,25.2
Food Inflation,1998/09/30,41.7
Food Inflation,1998/10/31,43.3
Food Inflation,1998/11/30,43.8
Food Inflation,1998/12/31,46.6
Food Inflation,1999/01/31,53.6
Food Inflation,1999/02/28,54
Food Inflation,1999/03/31,54.8
Food Inflation,1999/04/30,52.9
Food Inflation,1999/05/31,56
Food Inflation,1999/06/30,55.9
Food Inflation,1999/07/31,51.3
Food Inflation,1999/08/31,39.2
Food Inflation,1999/09/30,32
Food Inflation,1999/10/31,29.1
Food Inflation,1999/11/30,27.5
Food Inflation,1999/12/31,21.9
Food Inflation,2000/01/31,23.2
Food Inflation,2000/02/29,25.4
Food Inflation,2000/03/31,24.5
Food Inflation,2000/04/30,21.7
Food Inflation,2000/05/31,15.3
Food Inflation,2000/06/30,9.1
Food Inflation,2000/07/31,11.9
Food Inflation,2000/08/31,17.6
Food Inflation,2000/09/30,19.3
Food Inflation,2000/10/31,21.9
Food Inflation,2000/11/30,23.4
Food Inflation,2000/12/31,22.4
Food Inflation,2001/01/31,20.4
Inflation Rate,2001/01/31,26.7
Food Inflation,2001/02/28,15.6
Inflation Rate,2001/02/28,26.8
Food Inflation,2001/03/31,12.1
Inflation Rate,2001/03/31,25.5
Food Inflation,2001/04/30,9.9
Inflation Rate,2001/04/30,25.2
Food Inflation,2001/05/31,7.7
Inflation Rate,2001/05/31,22.6
Food Inflation,2001/06/30,8.6
Inflation Rate,2001/06/30,23.2
Food Inflation,2001/07/31,14.2
Inflation Rate,2001/07/31,22.6
Food Inflation,2001/08/31,20.4
Inflation Rate,2001/08/31,25.8
Food Inflation,2001/09/30,27.5
Inflation Rate,2001/09/30,23.4
Food Inflation,2001/10/31,32.3
Inflation Rate,2001/10/31,20.2
Food Inflation,2001/11/30,34.8
Inflation Rate,2001/11/30,17.5
Food Inflation,2001/12/31,32.6
Inflation Rate,2001/12/31,15.5
Food Inflation,2002/01/31,19.7
Inflation Rate,2002/01/31,15.5
Food Inflation,2002/02/28,20.6
Inflation Rate,2002/02/28,16.2
Food Inflation,2002/03/31,22
Inflation Rate,2002/03/31,17.2
Food Inflation,2002/04/30,19.7
Inflation Rate,2002/04/30,16.1
Food Inflation,2002/05/31,19
Inflation Rate,2002/05/31,15.4
Food Inflation,2002/06/30,20
Inflation Rate,2002/06/30,15.6
Food Inflation,2002/07/31,14.4
Inflation Rate,2002/07/31,14.5
Food Inflation,2002/08/31,15.7
Inflation Rate,2002/08/31,15.1
Food Inflation,2002/09/30,15.5
Inflation Rate,2002/09/30,15.4
Food Inflation,2002/10/31,10.1
Inflation Rate,2002/10/31,12.9
