Country,Admin 1,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
"Somalia","Awdal","Borama","Wheat flour","Retail",2015,07,5000,KG,SLS,"WFP"
"Somalia","Awdal","Borama","Wheat flour","Retail",2015,08,5500,KG,SLS,"WFP"
"Somalia","Awdal","Borama","Wheat flour","Retail",2015,09,,KG,SLS,""
"Somalia","Awdal","Borama","Wheat flour","Retail",2015,10,,KG,SLS,""
"Somalia","Awdal","Borama","Wheat flour","Retail",2015,11,,KG,SLS,""
"Somalia","Awdal","Borama","Wheat flour","Retail",2015,12,,KG,SLS,""
"Somalia","Awdal","Borama","Wheat flour","Retail",2016,01,,KG,SLS,""
"Somalia","Awdal","Borama","Wheat flour","Retail",2016,02,,KG,SLS,""
"Somalia","Awdal","Borama","Wheat flour","Retail",2016,03,4000,KG,SLS,"WFP"
"Somalia","Awdal","Borama","Wheat flour","Retail",2016,04,,KG,SLS,""
"Somalia","Awdal","Borama","Wheat flour","Retail",2016,05,4000,KG,SLS,"WFP"
"Somalia","Awdal","Borama","Wheat flour","Retail",2016,06,4000,KG,SLS,"WFP"
"Somalia","Awdal","Borama","Wheat flour","Retail",2016,07,4278,KG,SLS,"WFP"
"Somalia","Awdal","Borama","Wheat flour","Retail",2016,08,4000,KG,SLS,"WFP"
"Somalia","Awdal","Borama","Wheat flour","Retail",2016,09,4000,KG,SLS,"WFP"
"Somalia","Awdal","Borama","Wheat flour","Retail",2016,10,4000,KG,SLS,"WFP"
"Somalia","Awdal","Borama","Wheat flour","Retail",2016,11,4000,KG,SLS,"WFP"
"Somalia","Awdal","Borama","Wheat flour","Retail",2016,12,4000,KG,SLS,"WFP"
"Somalia","Awdal","Borama","Wheat flour","Retail",2017,01,4000,KG,SLS,"WFP"
"Somalia","Awdal","Borama","Wheat flour","Retail",2017,02,4000,KG,SLS,"WFP"
"Somalia","Awdal","Borama","Wheat flour","Retail",2017,03,4000,KG,SLS,"WFP"
"Somalia","Awdal","Borama","Rice (imported)","Retail",1996,01,240,KG,SOS,"Food Security Analysis Unit via FAO: GIEWS/FPMA"
"Somalia","Awdal","Borama","Rice (imported)","Retail",1996,02,331,KG,SOS,"Food Security Analysis Unit via FAO: GIEWS/FPMA"
"Somalia","Awdal","Borama","Rice (imported)","Retail",1996,03,529,KG,SOS,"Food Security Analysis Unit via FAO: GIEWS/FPMA"
